SPN, Date, Formula, Base Rate, Rate, IBB, Accrued Interest, Version, Call Type
82467ACM,12/17/13,A,1.25,1.0,286679.08,3010.13,2013-12-17 19:14:29.204475,*ALL
82506ACM,12/17/13,B,1.25,1.0,42533.72,404.07,2013-12-17 19:14:29.204475,*ALL
82514ACM,12/17/13,C,1.25,1.0,2135256.23,16014.42,2013-12-17 19:14:29.204475,*ALL
82536ACM,12/17/13,D,1.25,1.0,6803611.0,68036.11,2013-12-17 19:14:29.204475,*ALL
82542ACM,12/17/13,E,1.25,1.0,-79716.0,0.0,2013-12-17 19:14:29.204475,*ALL
82551ACM,12/17/13,F,1.25,1.0,-9168.49,0.0,2013-12-17 19:14:29.204475,*ALL
82552ACM,12/17/13,A,1.25,1.0,-110757.45,0.0,2013-12-17 19:14:29.204475,*ALL
82572AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82581ACM,12/17/13,C,1.25,1.0,2853169.52,28531.7,2013-12-17 19:14:29.204475,*ALL
82582ACM,12/17/13,D,1.25,1.0,165200.0,1899.8,2013-12-17 19:14:29.204475,*ALL
82584ACM,12/17/13,E,1.25,1.0,80894.42,849.39,2013-12-17 19:14:29.204475,*ALL
82592ACM,12/17/13,F,1.25,1.0,47148.69,447.91,2013-12-17 19:14:29.204475,*ALL
82629ACM,12/17/13,A,1.25,1.0,14535.03,109.01,2013-12-17 19:14:29.204475,*ALL
82637ACM,12/17/13,B,1.25,1.0,4315556.51,43155.57,2013-12-17 19:14:29.204475,*ALL
82653ACM,12/17/13,C,1.25,1.0,64794.56,745.14,2013-12-17 19:14:29.204475,*ALL
82654ACM,12/17/13,D,1.25,1.0,906100.0,9514.05,2013-12-17 19:14:29.204475,*ALL
82669ACM,12/17/13,E,1.25,1.0,8294081.43,78793.77,2013-12-17 19:14:29.204475,*ALL
82671ACM,12/17/13,F,1.25,1.0,5085377.84,38140.33,2013-12-17 19:14:29.204475,*ALL
