"33094AC ","12-20-2013","GBP",-3575175,4415212.5,840037.5,414900,425137.5,,
"33095AC ","12-20-2013","USD",1520100,-6847482.5,-5327382.5,0,-5327382.5,,
"33096AC ","12-20-2013","GBP",-438220,1424690,986470,492750,493720,,
"33099AC ","12-20-2013","USD",-54900,1238988.38,1184088.38,785730,398358.38,,
"33106ACM","12-20-2013","GBP",14273.35,1043415.35,1057688.7,21175,1036513.7,,
"33122ACM","12-20-2013","USD",-9487845,-8729578.61,-18217423.61,26854308.5,-45071732.11,,
"33124ACM","12-20-2013","GBP",-1106381.25,-10005304.38,-11111685.63,10226880,-21338565.63,,
"33132AC ","12-20-2013","USD",-40710,946100.79,905390.79,1223640,-318249.21,,
"33136ACM","12-20-2013","GBP",312977.5,938638.95,1251616.45,803200,448416.45,,
"33148ACM","12-20-2013","USD",12532.5,29662.75,42195.25,12300,29895.25,,
"33161ACM","12-20-2013","GBP",65030.82,296291.87,361322.69,144012,217310.69,,
"33162ACM","12-20-2013","USD",-876387.36,5748805.18,4872417.82,1448450,3423967.82,,
"33170AC ","12-20-2013","GBP",-149400,-21700,-171100,243332,-414432,,
"33171AC ","12-20-2013","USD",-77260,294090,216830,3787410,-3570580,,
"33189AC ","12-20-2013","GBP",-34830,700040,665210,623500,41710,,
"33224ACM","12-20-2013","USD",85635,-23995,61640,94300,-32660,,
"33226ACM","12-20-2013","GBP",69487.5,-29287.5,40200,61500,-21300,,
"33227AC ","12-20-2013","USD",-2660,297541.07,294881.07,144400,150481.07,,
"33263ACM","12-20-2013","GBP",-1137831.44,6843691.72,5705860.28,1680025,4025835.28,,
"33273ACM","12-20-2013","USD",-28420,28189.6,-230.4,94300,-94530.4,,
"33326AC ","12-20-2013","GBP",29507.57,-21109.37,8398.2,20366,-11967.8,,
"33329ACM","12-20-2013","USD",-28625.8,501929.9,473304.1,133875,339429.1,,
"33332ACM","12-20-2013","GBP",9882.73,10548.45,20431.18,20650,-218.82,,
"33369AC ","12-20-2013","USD",-60000,500701.82,440701.82,205000,235701.82,,
"33377ACM","12-20-2013","GBP",-4585.29,-850364.5,-854949.79,26000,-880949.79,,
"33393ACA","12-20-2013","USD",-2326129.67,-1795531.66,-4121661.33,14090185,-4121661.33,,
"33395ACA","12-20-2013","GBP",378605.9,81449.14,460055.04,9790042,-375148.15,,
"33403ACM","12-20-2013","USD",-36545,40075,3530,286430,3530,,
"33407ACM","12-20-2013","GBP",60925,4613020.92,4673945.92,635500,4038445.92,,
"33408ACM","12-20-2013","USD",182052.02,-182755.87,-703.85,287000,-287703.85,,
"33422ACM","12-20-2013","GBP",-44093.58,94775,50681.42,50150,531.42,,
"33429ACM","12-20-2013","USD",1828.11,107973.6,109801.71,4425,105376.71,,
"33454ACM","12-20-2013","GBP",-493099.99,591047.54,97947.55,1339000,-1241052.45,,
"33456ACM","12-20-2013","USD",14875,138002.5,152877.5,48790,104087.5,,
"33478ACM","12-20-2013","GBP",201159.98,-202347.88,-1187.9,492000,-493187.9,,
"33481ACM","12-20-2013","USD",-650,123531.25,122881.25,266500,-143618.75,,
"33555ACM","12-20-2013","GBP",256514.57,-272738.04,-16223.47,1620825,-1637048.47,,
"33578AC ","12-20-2013","USD",-2121655,-141703325.4,-143824980.4,3991587,-147816567.4,,
"33584AC ","12-20-2013","GBP",-1036000,1935138.29,899138.29,187500,711638.29,,
"33585AC ","12-20-2013","USD",-3237131.25,45809958.82,42572827.57,967197,41605630.57,,
"33602ACM","12-20-2013","GBP",-81475,-141129.19,-222604.19,0,-222604.19,,
"33615ACM","12-20-2013","USD",142862.5,1177173.72,1320036.22,0,1320036.22,,
"33618ACM","12-20-2013","GBP",-1495838.46,-9803428.95,-11299267.41,3752927.5,-15052194.91,,
"33619ACM","12-20-2013","USD",586368.51,63596.99,649965.5,663750,-13784.5,,
"33620ACM","12-20-2013","GBP",-129100.5,-524120.08,-653220.58,0,-653220.58,,
"33621ACM","12-20-2013","USD",-10790.5,-324334.14,-335124.64,113750,-448874.64,,
"33622ACM","12-20-2013","GBP",-242487.5,-353187.05,-595674.55,185250,-780924.55,,
"33627ACM","12-20-2013","USD",184281.12,129778.91,314060.03,0,314060.03,,
"33628ACM","12-20-2013","GBP",-55450,375228.56,319778.56,55690,264088.56,,
"33631ACM","12-20-2013","USD",-12595,16014.27,3419.27,46800,-43380.73,,
"33638ACM","12-20-2013","GBP",131746.7,-121448.37,10298.33,155700,-145401.67,,
